activity,date,name,event,description,bonus,points
"Presenting - conference, SIG meeting, meet-up",21-SEP-17,Scripting mit SQLcl - Batchscripts auf einem neuen Level,DOAG Regio Nürnberg/Franken,"Technische Hochschule ""Georg Simon Ohm"" Nürnberg, Raum ""WE.014"", Wassertorstrasse 10, 90489 Nürnberg",,20
Presenting - video/webinar,17-AUG-17,CodeTalk Series: Six Reasons Why you will get addicted to SQLcl Scripting,The 2017 CodeTalk Series Webinars are Co-sponsored by ODTUG and IOUG.,Hosted by Chris Saxon. Presented by Sabine Heimsath and Robert Marz,,20
Presenting - video/webinar,11-AUG-17,"DOAG Webinar ""Tools for Cloud-User and DBAs: ssh""",DOAG Database Webinars,"	Werkzeuge für DBAs und Cloudnutzer: SSH  Beinahe alle DBAs und die meisten Entwickler benutzen die »Secure Shell« ssh für ihre tägliche Arbeit. Die meisten Server im eigenen Rechenzentrum und alle Server in der Cloud sind ausschließlich per ssh zu erreichen.  Was längst nicht jeder weiß: Die ssh-suite besteht aus weit mehr als nur dem Befehl »ssh«.  Dieses Webinar will Ihnen helfen, die Möglichkeiten von ssh zu erkennen und Sie bei ihrer täglichen Arbeit effektiver machen. Er beleuchtet die weniger bekannten Seiten von ssh - sowohl auf der Client- als auch auf der Serverseite.",check,25
Article (in 3rd party publication),09-AUG-17,Scripting mit SQLcl – Batch Scripts auf einem neuen Level,,"Redstack Magazin 04/2017: Oracle 12.2 (Magazine of german speaking user groups DOAG, AOUG & SOUG)",,30
Article (in 3rd party publication),04-JUL-17,Cloud oder nicht Cloud - ist das noch die Frage?,,"Redstack Magazin 03/2017: Cloud Infrastructure (Magazine of german speaking user groups DOAG, AOUG & SOUG)",check,35
Article (in 3rd party publication),04-JUL-17,Automatisieren des  Oracle VM Server  per REST-Interface,,Redstack Magazin 03/2017: Cloud Infrastructure,,30
"Presenting - conference, SIG meeting, meet-up",28-JUN-17,Six Reasons Why You Will Get Addicted to SQLcl Scripting,ODTUG KScope 17,"2017-06-28, Wed Session 16, 4:15pm-5:15pm San Antonio, Texas",,20
"Presenting - conference, SIG meeting, meet-up",16-JUN-17,"Parallel Session 8.2 - Rest-db-links - access Oracle Databases in the Cloud using ORDS, REST & JSON",OGH Tech Experience 17,"Friday, June 16th 2017 , 13:30 - 14:15 De Rijtuigenloods, Amersfoort, Netherlands Room Wachtkammer 2",,20
"Presenting - conference, SIG meeting, meet-up",15-JUN-17,Parallel Session 5.3 - Taking Batch Scripting to the Next Level with SQLcl,OGH Tech Experience 17,"Thursday, 15th June, 16:00 - 16:45 De Rijtuigenloods, Amersfoort, Netherlands Room Wachtkammer 5",,20
User Group - Volunteer,01-JUN-17,Founded founded the DOAG DBADEV Consortium,,"Founded founded the DOAG DBADEV Consortium DBA Members: - Robert Marz - Bruno Cirona Dev Members: Niels de Brujin, ACED Sabine Heimsath, ACE",,25
User Group - Volunteer,01-JUN-17,DOAG assembly of delegates: elected by DOAG members as delegate of corporate members K500,,DOAG assembly of delegates: Elected for three year term,,25
